site_id,local_id,asset_id,x_make,x_model,asset_type,x_tonnage,x_evap_hp,x_eer,x_refrig_type,year,age,x_economizer,x_vfd,x_cmp_stg,x_condition,strategy,cost,n_make,n_model,n_tonnage,n_evap_hp,n_eer,n_economizer,n_vfd,n_cmp_stg
Anderson,28,Anderson-28,,,CDU,4,0.75,10.81620881,,2002,,FALSE,FALSE,1,,Replace,,York,YCE48B21S / AE48CX21 / S1-6HK1650--06,4,0.75,11.76,FALSE,TRUE,1
Anderson,44,Anderson-44,,,CDU,4,0.75,10.65396567,,2003,,FALSE,FALSE,1,,Replace,,York,YCE48B21S / AE48CX21 / S1-6HK1650--06,4,0.75,11.76,FALSE,TRUE,1
Tulsa,84,Tulsa-84,,,CDU,4,0.75,9.878532789,,0,,FALSE,FALSE,1,,Replace,,York,TCD60B41S / AE60CX22 / S1-6HK0650--06,4,0.75,11.18,FALSE,TRUE,1
Anderson,46,Anderson-46,,,CDU,4,0.75,9.878532789,,2008,,FALSE,FALSE,1,,Replace,,York,TCD48B41S / AE48CX21 / S1-6HK1650--06,4,0.75,11.18,FALSE,TRUE,1
Anderson,47,Anderson-47,,,CDU,4,0.75,9.878532789,,2008,,FALSE,FALSE,1,,Replace,,York,TCD48B41S / AE48CX21 / S1-6HK1650--06,4,0.75,11.18,FALSE,TRUE,1
Anderson,25,Anderson-25,,,PKG,4,2.4,9.730354798,,2009,,FALSE,FALSE,1,,Replace,,York,ZQG05D4A1AA1A111A3,4,2.4,12,FALSE,TRUE,1
Shawnee,104,Shawnee-104,Carrier,24ABB348A610,CDU,4,0.75,12.07191619,,2013,,FALSE,FALSE,1,,Retrofit,,Carrier,24ABB348A610,4,0.75,12,FALSE,TRUE,1
Shawnee,127,Shawnee-127,Carrier,24ABB348A610,CDU,4,0.75,12.07191619,,2013,,FALSE,FALSE,1,,Retrofit,,Carrier,24ABB348A610,4,0.75,12,FALSE,TRUE,1
Shawnee,111,Shawnee-111,Carrier,24ABB348A610,CDU,4,0.75,11.89083745,,2014,,FALSE,FALSE,1,,Retrofit,,Carrier,24ABB348A610,4,0.75,12,FALSE,TRUE,1
Anderson,20,Anderson-20,Trane,YSC048G4RMA,PKG,4,1,11.53678777,,2016,,FALSE,FALSE,1,,Retrofit,,Trane,YSC048G4RMA,4,1,11.5,FALSE,TRUE,2
Anderson,22,Anderson-22,,,CDU,3,0.5,10.49415619,,2004,,FALSE,FALSE,1,,Replace,,York,YCE36B22S / AE36BX21 / S1-6HK1650--06,3,0.5,11.76,FALSE,TRUE,1
Anderson,21,Anderson-21,,,CDU,3,0.5,10.18169269,,2006,,FALSE,FALSE,1,,Replace,,York,YCE36B22S / AE36BX21 / S1-6HK1650--06,3,0.5,11.76,FALSE,TRUE,1
Shawnee,109,Shawnee-109,,,CDU,3,0.5,10.0289673,,2007,,FALSE,FALSE,1,,Replace,,York,YCE36B22S / AE36BX21 / S1-6HK1650--06,3,0.5,11.76,FALSE,TRUE,1
Tulsa,95,Tulsa-95,,,CDU,3,0.5,9.878532789,,0,,FALSE,FALSE,1,,Replace,,York,YCE36B22S / AE36BX21 / S1-6HK1650--06,3,0.5,11.76,FALSE,TRUE,1
Shawnee,115,Shawnee-115,Carrier,24ABB336A610,CDU,3,0.5,12.6318663,,2010,,FALSE,FALSE,1,,Retrofit,,Carrier,24ABB336A610,3,0.5,12,FALSE,TRUE,1
Shawnee,124,Shawnee-124,Carrier,24ABB336A610,CDU,3,0.75,12.4423883,,2011,,FALSE,FALSE,1,,Retrofit,,Carrier,24ABB336A610,3,0.75,12,FALSE,TRUE,1
Anderson,31,Anderson-31,Trane,WSC036E4RGA0Z,PKG,3,1,12.4423883,,2011,,FALSE,FALSE,1,,Retrofit,,Trane,WSC036E4RGA0Z,3,1,10.06,FALSE,TRUE,1
Anderson,33,Anderson-33,Trane,YHC036E4RMA1JD001,PKG,3,1,11.89083745,,2014,,FALSE,FALSE,1,,Retrofit,,Trane,YHC036E4RMA1JD001,3,1,11.65,FALSE,TRUE,2
Anderson,30,Anderson-30,,,CDU,2.5,0.33,10.18169269,,2006,,FALSE,FALSE,1,,Replace,,York,YCE24B22S / AE24BX21 / S1-6HK1650--06,2.5,0.33,11.76,FALSE,TRUE,1
Shawnee,118,Shawnee-118,Carrier,24ABB336A610,CDU,3,0.75,11.53678777,,2016,,FALSE,FALSE,1,,Retrofit,,Carrier,24ABB336A610,3,0.75,12,FALSE,TRUE,1
Anderson,43,Anderson-43,,,CDU,2,0.33,10.49415619,,2004,,FALSE,FALSE,1,,Replace,,York,YCE18B22S / AE18BX21 / S1-6HK1650--06,2,0.33,11.76,FALSE,TRUE,1
Anderson,23,Anderson-23,,,CDU,2,0.33,10.33674385,,2005,,FALSE,FALSE,1,,Replace,,York,YCE24B22S / AE24BX21 / S1-6HK1650--06,2,0.33,11.76,FALSE,TRUE,1
Tulsa,87,Tulsa-87,,,CDU,2,0.33,10.18169269,,2006,,FALSE,FALSE,1,,Replace,,York,YCE24B22S / AE24BX21 / S1-6HK1650--06,2,0.33,11.76,FALSE,TRUE,1
